City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
"Pangai, TO",-19.8,-174.35,77.81,72,100,8.43
"Bengkulu, ID",-3.8004,102.2655,77.02,89,99,6.76
"Hambantota, LK",6.1241,81.1185,81.72,79,79,2.82
"Kaoma, ZM",-14.7833,24.8,67.86,68,80,5.37
"Carnarvon, AU",-24.8667,113.6333,68.07,83,40,3.44
"Mehamn, NO",71.0357,27.8492,30.15,80,20,6.91
"Vaini, TO",-21.2,-175.2,71.76,94,100,18.41
"Ushuaia, AR",-54.8,-68.3,43.14,68,100,3.51
"Albany, AU",-35.0169,117.8917,63.03,94,100,6.91
"Rikitea, PF",-23.1203,-134.9692,75.33,78,100,12.03
"Bredasdorp, ZA",-34.5322,20.0403,57.2,68,12,5.08
"Inuvik, CA",68.3499,-133.7218,34.3,92,100,1.45
"College, US",64.8569,-147.8028,39.04,66,75,0.0
"Victoria, SC",-4.6167,55.45,82.94,71,33,4.0
"Puerto Ayora, EC",-0.7393,-90.3518,76.96,79,82,9.19
"Punta Arenas, CL",-53.15,-70.9167,44.11,81,100,13.62
"Yeppoon, AU",-23.1333,150.7333,65.98,83,100,20.76
"Saint-Philippe, RE",-21.3585,55.7679,74.79,83,44,16.37
"Zyryanovsk, KZ",49.7386,84.2719,39.27,75,100,5.26
"Hobart, AU",-42.8794,147.3294,50.79,89,40,5.75
"Provideniya, RU",64.3833,-173.3,21.83,90,33,12.19
"Zambezi, ZM",-13.5432,23.1047,68.72,74,59,4.29
"Arraial Do Cabo, BR",-22.9661,-42.0278,78.66,69,40,11.5
"Gimli, CA",50.6336,-96.9907,19.99,89,100,17.05
"Chitrakonda, IN",18.1167,82.0833,85.08,43,58,3.11
"Jamestown, SH",-15.9387,-5.7168,69.12,74,44,18.32
"Vestmannaeyjar, IS",63.4427,-20.2734,45.59,81,75,8.05
"Tuktoyaktuk, CA",69.4541,-133.0374,32.18,91,100,3.83
"Mikhaylovka, KZ",43.0,71.5,54.72,51,67,6.02
"Umm Lajj, SA",25.0213,37.2685,78.73,48,0,6.22
"Shingu, JP",33.7333,135.9833,63.55,93,97,2.93
"Comodoro Rivadavia, AR",-45.8667,-67.5,57.06,38,40,24.16
"Guane, CU",22.2025,-84.0875,84.56,57,24,12.93
"Fort Nelson, CA",58.8053,-122.7002,35.19,87,100,0.0
"Kapaa, US",22.0752,-159.319,73.11,82,10,1.99
"Katobu, ID",-4.9408,122.5276,75.27,92,41,1.92
"Qaanaaq, GL",77.484,-69.3632,10.94,66,91,5.06
"Kodiak, US",57.79,-152.4072,38.71,65,100,12.66
"Jalu, LY",29.0331,21.5482,88.79,9,85,8.75
"Busselton, AU",-33.65,115.3333,62.4,79,96,20.11
"Chulym, RU",55.0997,80.9572,39.87,60,14,4.74
"Caravelas, BR",-17.7125,-39.2481,84.22,59,9,7.4
"Bluff, NZ",-46.6,168.3333,50.81,65,17,22.57
"Slonim, BY",53.0867,25.3219,49.53,91,90,6.02
"Hermanus, ZA",-34.4187,19.2345,60.8,71,0,6.13
"Butaritari, KI",3.0707,172.7902,79.84,83,29,15.03
"Envira, BR",-7.3,-70.2167,86.43,66,80,1.88
"San Cristobal, EC",-0.9045,-89.6174,80.71,65,40,13.8
"Nikolskoye, RU",59.7035,30.7861,40.89,96,100,4.76
"Esperance, AU",-33.8667,121.9,68.31,46,100,23.82
"Gardelegen, DE",52.5252,11.3952,57.79,66,100,3.6
"Port Hardy, CA",50.6996,-127.4199,42.98,87,75,3.44
"Bethel, US",41.3712,-73.414,59.38,33,100,4.0
"Iskateley, RU",67.6803,53.1512,31.23,96,100,10.76
"Tazovskiy, RU",67.4667,78.7,5.54,96,76,7.94
"Samarai, PG",-10.6167,150.6667,82.35,78,45,13.89
"Aswan, EG",24.0934,32.907,90.37,10,0,8.93
"Qasigiannguit, GL",68.8193,-51.1922,28.65,90,99,1.88
"Castro, CL",-42.4721,-73.7732,48.09,94,100,17.27
"Dadu, PK",26.7329,67.7763,97.74,17,32,10.54
"Mar Del Plata, AR",-38.0023,-57.5575,61.88,68,0,11.99
"Olafsvik, IS",64.8945,-23.7142,44.98,75,92,5.26
"Fairbanks, US",64.8378,-147.7164,38.86,66,100,0.0
"Barra Patuca, HN",15.8,-84.2833,82.53,72,19,7.63
"Lebu, CL",-37.6167,-73.65,56.46,68,100,20.33
"Batemans Bay, AU",-35.7167,150.1833,62.1,92,70,3.58
"San Patricio, MX",19.2167,-104.7,78.91,78,20,9.22
"Vila Franca Do Campo, PT",37.7167,-25.4333,61.21,66,4,12.5
"Makat, KZ",47.6469,53.3463,65.32,33,90,9.35
"Rawson, AR",-43.3002,-65.1023,62.76,26,83,20.27
"Riyadh, SA",24.6877,46.7219,73.54,40,98,23.17
"Tasiilaq, GL",65.6145,-37.6368,37.56,95,100,8.79
"Dicabisagan, PH",17.0818,122.4157,78.76,89,35,3.71
"Maldonado, UY",-34.6667,-54.9167,65.59,95,100,3.53
"Tabou, CI",4.423,-7.3528,82.06,77,100,6.76
"Leningradskiy, RU",69.3833,178.4167,2.66,96,81,6.06
"Khatanga, RU",71.9667,102.5,-7.85,100,21,2.46
"Saint-Joseph, RE",-21.3667,55.6167,73.78,79,28,15.26
"Thompson, CA",55.7435,-97.8558,19.13,57,15,7.31
"Camacha, PT",33.0833,-16.3333,62.02,77,20,6.91
"Abu Dhabi, AE",24.4667,54.3667,82.96,61,10,8.99
"Mahebourg, MU",-20.4081,57.7,75.49,73,40,11.5
"Shaunavon, CA",49.6501,-108.4181,46.83,47,6,16.69
